时间戳,通道1,通道2,通道3
87.0,0.519817,-0.04606,-0.438999
88.0,0.525175,-0.058609,-0.421985
89.0,0.530511,-0.071149,-0.404822
90.0,0.535827,-0.083678,-0.387516
91.0,0.541121,-0.096193,-0.370071
92.0,0.546394,-0.108693,-0.352495
93.0,0.551646,-0.121176,-0.334794
94.0,0.556876,-0.13364,-0.316974
95.0,0.562083,-0.146083,-0.299041
96.0,0.567269,-0.158503,-0.281002
97.0,0.572432,-0.170897,-0.262863
98.0,0.577573,-0.183265,-0.244631
99.0,0.58269,-0.195604,-0.226311
100.0,0.587785,-0.207912,-0.207912
101.0,0.592857,-0.220187,-0.189438
102.0,0.597905,-0.232427,-0.170897
103.0,0.60293,-0.244631,-0.152296
104.0,0.60793,-0.256795,-0.13364
105.0,0.612907,-0.26892,-0.114937
106.0,0.61786,-0.281002,-0.096193
107.0,0.622788,-0.293039,-0.077415
108.0,0.627691,-0.305031,-0.058609
109.0,0.63257,-0.316974,-0.039783
110.0,0.637424,-0.328867,-0.020942
111.0,0.642253,-0.340708,-0.002094
112.0,0.647056,-0.352495,0.016754
113.0,0.651834,-0.364227,0.035597
114.0,0.656586,-0.375901,0.054427
115.0,0.661312,-0.387516,0.073238
116.0,0.666012,-0.399069,0.092023
117.0,0.670686,-0.41056,0.110775
118.0,0.675333,-0.421985,0.129488
119.0,0.679953,-0.433345,0.148155
120.0,0.684547,-0.444635,0.166769
121.0,0.689114,-0.455856,0.185324
122.0,0.693653,-0.467004,0.203813
123.0,0.698165,-0.478079,0.222229
124.0,0.70265,-0.489078,0.240567
125.0,0.707107,-0.5,0.258819
126.0,0.711536,-0.510843,0.276979
127.0,0.715936,-0.521605,0.295041
128.0,0.720309,-0.532285,0.312998
129.0,0.724653,-0.542881,0.330844
130.0,0.728969,-0.553392,0.348572
131.0,0.733255,-0.563814,0.366176
132.0,0.737513,-0.574148,0.383651
133.0,0.741742,-0.584391,0.400989
134.0,0.745941,-0.594542,0.418184
135.0,0.750111,-0.604599,0.435231
136.0,0.754251,-0.614561,0.452123
137.0,0.758362,-0.624425,0.468855
138.0,0.762443,-0.634191,0.48542
139.0,0.766493,-0.643857,0.501813
140.0,0.770513,-0.653421,0.518027
141.0,0.774503,-0.662881,0.534057
142.0,0.778462,-0.672238,0.549898
143.0,0.782391,-0.681488,0.565543
144.0,0.786288,-0.69063,0.580987
145.0,0.790155,-0.699663,0.596225
146.0,0.79399,-0.708586,0.611251
147.0,0.797794,-0.717397,0.62606
148.0,0.801567,-0.726095,0.640646
149.0,0.805308,-0.734678,0.655005
150.0,0.809017,-0.743145,0.669131
151.0,0.812694,-0.751494,0.683019
152.0,0.816339,-0.759725,0.696664
153.0,0.819952,-0.767836,0.710062
154.0,0.823533,-0.775826,0.723208
155.0,0.827081,-0.783693,0.736097
156.0,0.830596,-0.791437,0.748724
157.0,0.834078,-0.799055,0.761086
158.0,0.837528,-0.806548,0.773177
159.0,0.840945,-0.813913,0.784993
160.0,0.844328,-0.821149,0.79653
161.0,0.847678,-0.828256,0.807784
162.0,0.850994,-0.835232,0.818751
163.0,0.854277,-0.842076,0.829428
164.0,0.857527,-0.848787,0.839809
165.0,0.860742,-0.855364,0.849893
166.0,0.863923,-0.861806,0.859674
167.0,0.867071,-0.868112,0.86915
168.0,0.870184,-0.874281,0.878317
169.0,0.873262,-0.880312,0.887172
170.0,0.876307,-0.886204,0.895712
171.0,0.879316,-0.891955,0.903933
172.0,0.882291,-0.897566,0.911834
173.0,0.885231,-0.903036,0.91941
174.0,0.888136,-0.908362,0.92666
175.0,0.891007,-0.913545,0.93358
176.0,0.893841,-0.918584,0.940169
177.0,0.896641,-0.923478,0.946424
178.0,0.899405,-0.928226,0.952343
179.0,0.902134,-0.932828,0.957923
180.0,0.904827,-0.937282,0.963163
181.0,0.907484,-0.941588,0.96806
182.0,0.910106,-0.945746,0.972614
183.0,0.912692,-0.949754,0.976822
184.0,0.915241,-0.953612,0.980683
185.0,0.917755,-0.957319,0.984196
186.0,0.920232,-0.960876,0.987359
187.0,0.922673,-0.964281,0.990171
188.0,0.925077,-0.967533,0.992631
189.0,0.927445,-0.970633,0.994739
190.0,0.929776,-0.973579,0.996493
191.0,0.932071,-0.976371,0.997893
192.0,0.934329,-0.97901,0.998939
193.0,0.93655,-0.981494,0.999629
194.0,0.938734,-0.983823,0.999965
195.0,0.940881,-0.985996,0.999945
196.0,0.942991,-0.988014,0.99957
197.0,0.945063,-0.989876,0.99884
198.0,0.947098,-0.991581,0.997755
199.0,0.949096,-0.99313,0.996315
200.0,0.951057,-0.994522,0.994522
201.0,0.952979,-0.995757,0.992375
202.0,0.954865,-0.996835,0.989876
203.0,0.956712,-0.997755,0.987024
204.0,0.958522,-0.998518,0.983823
205.0,0.960294,-0.999123,0.980271
206.0,0.962028,-0.99957,0.976371
207.0,0.963724,-0.99986,0.972125
208.0,0.965382,-0.999991,0.967533
209.0,0.967001,-0.999965,0.962597
210.0,0.968583,-0.999781,0.957319
211.0,0.970127,-0.999439,0.951702
212.0,0.971632,-0.998939,0.945746
213.0,0.973099,-0.998281,0.939454
214.0,0.974527,-0.997466,0.932828
215.0,0.975917,-0.996493,0.925871
216.0,0.977268,-0.995363,0.918584
217.0,0.978581,-0.994075,0.910972
218.0,0.979855,-0.992631,0.903036
219.0,0.981091,-0.99103,0.894779
220.0,0.982287,-0.989272,0.886204
221.0,0.983445,-0.987359,0.877314
222.0,0.984564,-0.985289,0.868112
223.0,0.985645,-0.983064,0.858602
224.0,0.986686,-0.980683,0.848787
225.0,0.987688,-0.978148,0.838671
226.0,0.988652,-0.975458,0.828256
227.0,0.989576,-0.972614,0.817547
228.0,0.990461,-0.969616,0.806548
229.0,0.991308,-0.966466,0.795262
230.0,0.992115,-0.963163,0.783693
231.0,0.992883,-0.959707,0.771847
232.0,0.993611,-0.9561,0.759725
233.0,0.994301,-0.952343,0.747334
234.0,0.994951,-0.948434,0.734678
235.0,0.995562,-0.944376,0.72176
236.0,0.996134,-0.940169,0.708586
237.0,0.996666,-0.935814,0.69516
238.0,0.997159,-0.93131,0.681488
239.0,0.997613,-0.92666,0.667573
240.0,0.998027,-0.921863,0.653421
241.0,0.998402,-0.916921,0.639036
242.0,0.998737,-0.911834,0.624425
243.0,0.999033,-0.906603,0.609592
244.0,0.999289,-0.901228,0.594542
245.0,0.999507,-0.895712,0.579281
246.0,0.999684,-0.890054,0.563814
247.0,0.999822,-0.884255,0.548147
248.0,0.999921,-0.878317,0.532285
249.0,0.99998,-0.87224,0.516234
250.0,1.0,-0.866025,0.5
251.0,0.99998,-0.859674,0.483588
252.0,0.999921,-0.853187,0.467004
253.0,0.999822,-0.846565,0.450254
254.0,0.999684,-0.839809,0.433345
255.0,0.999507,-0.832921,0.416281
256.0,0.999289,-0.825902,0.399069
257.0,0.999033,-0.818751,0.381716
258.0,0.998737,-0.811472,0.364227
259.0,0.998402,-0.804064,0.346608
260.0,0.998027,-0.79653,0.328867
261.0,0.997613,-0.78887,0.311008
262.0,0.997159,-0.781085,0.293039
263.0,0.996666,-0.773177,0.274966
264.0,0.996134,-0.765146,0.256795
265.0,0.995562,-0.756995,0.238533
266.0,0.994951,-0.748724,0.220187
267.0,0.994301,-0.740335,0.201762
268.0,0.993611,-0.73183,0.183265
269.0,0.992883,-0.723208,0.164703
270.0,0.992115,-0.714473,0.146083
271.0,0.991308,-0.705624,0.127411
272.0,0.990461,-0.696664,0.108693
273.0,0.989576,-0.687595,0.089937
274.0,0.988652,-0.678416,0.071149
275.0,0.987688,-0.669131,0.052336
276.0,0.986686,-0.659739,0.033504
277.0,0.985645,-0.650244,0.01466
278.0,0.984564,-0.640646,-0.004189
279.0,0.983445,-0.630947,-0.023036
280.0,0.982287,-0.621148,-0.041876
281.0,0.981091,-0.611251,-0.0607
282.0,0.979855,-0.601257,-0.079503
283.0,0.978581,-0.591169,-0.098278
284.0,0.977268,-0.580987,-0.117017
285.0,0.975917,-0.570714,-0.135716
286.0,0.974527,-0.56035,-0.154366
287.0,0.973099,-0.549898,-0.172961
288.0,0.971632,-0.539359,-0.191494
289.0,0.970127,-0.528735,-0.20996
290.0,0.968583,-0.518027,-0.228351
291.0,0.967001,-0.507238,-0.246661
292.0,0.965382,-0.496368,-0.264883
293.0,0.963724,-0.48542,-0.283011
294.0,0.962028,-0.474396,-0.301039
295.0,0.960294,-0.463296,-0.318959
296.0,0.958522,-0.452123,-0.336767
297.0,0.956712,-0.440879,-0.354454
298.0,0.954865,-0.429566,-0.372016
299.0,0.952979,-0.418184,-0.389445
300.0,0.951057,-0.406737,-0.406737
301.0,0.949096,-0.395225,-0.423883
302.0,0.947098,-0.383651,-0.440879
303.0,0.945063,-0.372016,-0.457719
304.0,0.942991,-0.360322,-0.474396
305.0,0.940881,-0.348572,-0.490904
306.0,0.938734,-0.336767,-0.507238
307.0,0.93655,-0.324908,-0.523391
308.0,0.934329,-0.312998,-0.539359
309.0,0.932071,-0.301039,-0.555135
310.0,0.929776,-0.289032,-0.570714
311.0,0.927445,-0.276979,-0.58609
312.0,0.925077,-0.264883,-0.601257
313.0,0.922673,-0.252745,-0.616211
314.0,0.920232,-0.240567,-0.630947
315.0,0.917755,-0.228351,-0.645458
316.0,0.915241,-0.216099,-0.659739
317.0,0.912692,-0.203813,-0.673787
318.0,0.910106,-0.191494,-0.687595
319.0,0.907484,-0.179146,-0.701158
320.0,0.904827,-0.166769,-0.714473
321.0,0.902134,-0.154366,-0.727533
322.0,0.899405,-0.141938,-0.740335
323.0,0.896641,-0.129488,-0.752875
324.0,0.893841,-0.117017,-0.765146
325.0,0.891007,-0.104528,-0.777146
326.0,0.888136,-0.092023,-0.78887
327.0,0.885231,-0.079503,-0.800313
328.0,0.882291,-0.06697,-0.811472
329.0,0.879316,-0.054427,-0.822343
330.0,0.876307,-0.041876,-0.832921
331.0,0.873262,-0.029317,-0.843204
332.0,0.870184,-0.016754,-0.853187
333.0,0.867071,-0.004189,-0.862867
334.0,0.863923,0.008377,-0.87224
335.0,0.860742,0.020942,-0.881303
336.0,0.857527,0.033504,-0.890054
337.0,0.854277,0.04606,-0.898488
338.0,0.850994,0.058609,-0.906603
339.0,0.847678,0.071149,-0.914395
340.0,0.844328,0.083678,-0.921863
341.0,0.840945,0.096193,-0.929003
342.0,0.837528,0.108693,-0.935814
343.0,0.834078,0.121176,-0.942291
344.0,0.830596,0.13364,-0.948434
345.0,0.827081,0.146083,-0.95424
346.0,0.823533,0.158503,-0.959707
347.0,0.819952,0.170897,-0.964833
348.0,0.816339,0.183265,-0.969616
349.0,0.812694,0.195604,-0.974055
350.0,0.809017,0.207912,-0.978148
351.0,0.805308,0.220187,-0.981893
352.0,0.801567,0.232427,-0.985289
353.0,0.797794,0.244631,-0.988335
354.0,0.79399,0.256795,-0.99103
355.0,0.790155,0.26892,-0.993373
356.0,0.786288,0.281002,-0.995363
357.0,0.782391,0.293039,-0.996999
358.0,0.778462,0.305031,-0.998281
359.0,0.774503,0.316974,-0.999208
360.0,0.770513,0.328867,-0.999781
361.0,0.766493,0.340708,-0.999998
362.0,0.762443,0.352495,-0.99986
363.0,0.758362,0.364227,-0.999366
364.0,0.754251,0.375901,-0.998518
365.0,0.750111,0.387516,-0.997314
366.0,0.745941,0.399069,-0.995757
367.0,0.741742,0.41056,-0.993845
368.0,0.737513,0.421985,-0.991581
369.0,0.733255,0.433345,-0.988964
370.0,0.728969,0.444635,-0.985996
371.0,0.724653,0.455856,-0.982678
372.0,0.720309,0.467004,-0.97901
373.0,0.715936,0.478079,-0.974994
374.0,0.711536,0.489078,-0.970633
375.0,0.707107,0.5,-0.965926
376.0,0.70265,0.510843,-0.960876
377.0,0.698165,0.521605,-0.955485
378.0,0.693653,0.532285,-0.949754
379.0,0.689114,0.542881,-0.943686
380.0,0.684547,0.553392,-0.937282
381.0,0.679953,0.563814,-0.930545
382.0,0.675333,0.574148,-0.923478
383.0,0.670686,0.584391,-0.916083
384.0,0.666012,0.594542,-0.908362
385.0,0.661312,0.604599,-0.900319
386.0,0.656586,0.614561,-0.891955
387.0,0.651834,0.624425,-0.883275
388.0,0.647056,0.634191,-0.874281
389.0,0.642253,0.643857,-0.864976
390.0,0.637424,0.653421,-0.855364
391.0,0.63257,0.662881,-0.845448
392.0,0.627691,0.672238,-0.835232
393.0,0.622788,0.681488,-0.824719
394.0,0.61786,0.69063,-0.813913
395.0,0.612907,0.699663,-0.802817
396.0,0.60793,0.708586,-0.791437
397.0,0.60293,0.717397,-0.779775
398.0,0.597905,0.726095,-0.767836
399.0,0.592857,0.734678,-0.755625
400.0,0.587785,0.743145,-0.743145
401.0,0.58269,0.751494,-0.730401
402.0,0.577573,0.759725,-0.717397
403.0,0.572432,0.767836,-0.704139
404.0,0.567269,0.775826,-0.69063
405.0,0.562083,0.783693,-0.676876
406.0,0.556876,0.791437,-0.662881
407.0,0.551646,0.799055,-0.648651
408.0,0.546394,0.806548,-0.634191
409.0,0.541121,0.813913,-0.619505
410.0,0.535827,0.821149,-0.604599
411.0,0.530511,0.828256,-0.589478
412.0,0.525175,0.835232,-0.574148
413.0,0.519817,0.842076,-0.558614
414.0,0.51444,0.848787,-0.542881
415.0,0.509041,0.855364,-0.526956
416.0,0.503623,0.861806,-0.510843
417.0,0.498185,0.868112,-0.494549
418.0,0.492727,0.874281,-0.478079
419.0,0.48725,0.880312,-0.461439
420.0,0.481754,0.886204,-0.444635
421.0,0.476238,0.891955,-0.427673
422.0,0.470704,0.897566,-0.41056
423.0,0.465151,0.903036,-0.3933
424.0,0.45958,0.908362,-0.375901
425.0,0.45399,0.913545,-0.358368
426.0,0.448383,0.918584,-0.340708
427.0,0.442758,0.923478,-0.322927
428.0,0.437116,0.928226,-0.305031
429.0,0.431456,0.932828,-0.287026
430.0,0.425779,0.937282,-0.26892
431.0,0.420086,0.941588,-0.250718
432.0,0.414376,0.945746,-0.232427
433.0,0.408649,0.949754,-0.214053
434.0,0.402906,0.953612,-0.195604
435.0,0.397148,0.957319,-0.177085
436.0,0.391374,0.960876,-0.158503
437.0,0.385584,0.964281,-0.139864
438.0,0.379779,0.967533,-0.121176
439.0,0.373959,0.970633,-0.102445
440.0,0.368125,0.973579,-0.083678
441.0,0.362275,0.976371,-0.064881
442.0,0.356412,0.97901,-0.04606
443.0,0.350534,0.981494,-0.027224
444.0,0.344643,0.983823,-0.008377
445.0,0.338738,0.985996,0.010472
446.0,0.33282,0.988014,0.029317
447.0,0.326888,0.989876,0.048152
448.0,0.320944,0.991581,0.06697
449.0,0.314987,0.99313,0.085765
450.0,0.309017,0.994522,0.104528
451.0,0.303035,0.995757,0.123255
452.0,0.297042,0.996835,0.141938
453.0,0.291036,0.997755,0.16057
454.0,0.285019,0.998518,0.179146
455.0,0.278991,0.999123,0.197657
456.0,0.272952,0.99957,0.216099
457.0,0.266902,0.99986,0.234463
458.0,0.260842,0.999991,0.252745
459.0,0.254771,0.999965,0.270936
460.0,0.24869,0.999781,0.289032
461.0,0.242599,0.999439,0.307024
462.0,0.236499,0.998939,0.324908
463.0,0.230389,0.998281,0.342676
464.0,0.224271,0.997466,0.360322
465.0,0.218143,0.996493,0.377841
466.0,0.212007,0.995363,0.395225
467.0,0.205863,0.994075,0.412469
468.0,0.19971,0.992631,0.429566
469.0,0.193549,0.99103,0.44651
470.0,0.187381,0.989272,0.463296
471.0,0.181206,0.987359,0.479917
472.0,0.175023,0.985289,0.496368
473.0,0.168833,0.983064,0.512642
474.0,0.162637,0.980683,0.528735
475.0,0.156434,0.978148,0.544639
476.0,0.150226,0.975458,0.56035
477.0,0.144011,0.972614,0.575862
478.0,0.13779,0.969616,0.591169
479.0,0.131564,0.966466,0.606266
480.0,0.125333,0.963163,0.621148
481.0,0.119097,0.959707,0.635809
482.0,0.112856,0.9561,0.650244
483.0,0.106611,0.952343,0.664448
484.0,0.100362,0.948434,0.678416
485.0,0.094108,0.944376,0.692143
486.0,0.087851,0.940169,0.705624
487.0,0.081591,0.935814,0.718855
488.0,0.075327,0.93131,0.73183
489.0,0.06906,0.92666,0.744545
490.0,0.062791,0.921863,0.756995
491.0,0.056519,0.916921,0.769177
492.0,0.050244,0.911834,0.781085
493.0,0.043968,0.906603,0.792715
494.0,0.03769,0.901228,0.804064
495.0,0.031411,0.895712,0.815128
496.0,0.02513,0.890054,0.825902
497.0,0.018848,0.884255,0.836382
498.0,0.012566,0.878317,0.846565
499.0,0.006283,0.87224,0.856447
500.0,0.0,0.866025,0.866025
501.0,-0.006283,0.859674,0.875296
502.0,-0.012566,0.853187,0.884255
503.0,-0.018848,0.846565,0.8929
504.0,-0.02513,0.839809,0.901228
505.0,-0.031411,0.832921,0.909236
506.0,-0.03769,0.825902,0.916921
507.0,-0.043968,0.818751,0.92428
508.0,-0.050244,0.811472,0.93131
509.0,-0.056519,0.804064,0.93801
510.0,-0.062791,0.79653,0.944376
511.0,-0.06906,0.78887,0.950407
512.0,-0.075327,0.781085,0.9561
513.0,-0.081591,0.773177,0.961454
514.0,-0.087851,0.765146,0.966466
515.0,-0.094108,0.756995,0.971134
516.0,-0.100362,0.748724,0.975458
517.0,-0.106611,0.740335,0.979435
518.0,-0.112856,0.73183,0.983064
519.0,-0.119097,0.723208,0.986343
520.0,-0.125333,0.714473,0.989272
521.0,-0.131564,0.705624,0.99185
522.0,-0.13779,0.696664,0.994075
523.0,-0.144011,0.687595,0.995947
524.0,-0.150226,0.678416,0.997466
525.0,-0.156434,0.669131,0.99863
526.0,-0.162637,0.659739,0.999439
527.0,-0.168833,0.650244,0.999893
528.0,-0.175023,0.640646,0.999991
529.0,-0.181206,0.630947,0.999735
530.0,-0.187381,0.621148,0.999123
531.0,-0.193549,0.611251,0.998156
532.0,-0.19971,0.601257,0.996835
533.0,-0.205863,0.591169,0.995159
534.0,-0.212007,0.580987,0.99313
535.0,-0.218143,0.570714,0.990748
536.0,-0.224271,0.56035,0.988014
537.0,-0.230389,0.549898,0.984929
538.0,-0.236499,0.539359,0.981494
539.0,-0.242599,0.528735,0.97771
540.0,-0.24869,0.518027,0.973579
541.0,-0.254771,0.507238,0.969102
542.0,-0.260842,0.496368,0.964281
543.0,-0.266902,0.48542,0.959117
544.0,-0.272952,0.474396,0.953612
545.0,-0.278991,0.463296,0.947768
546.0,-0.285019,0.452123,0.941588
547.0,-0.291036,0.440879,0.935073
548.0,-0.297042,0.429566,0.928226
549.0,-0.303035,0.418184,0.92105
550.0,-0.309017,0.406737,0.913545
551.0,-0.314987,0.395225,0.905717
552.0,-0.320944,0.383651,0.897566
553.0,-0.326888,0.372016,0.889097
554.0,-0.33282,0.360322,0.880312
555.0,-0.338738,0.348572,0.871214
556.0,-0.344643,0.336767,0.861806
557.0,-0.350534,0.324908,0.852093
558.0,-0.356412,0.312998,0.842076
559.0,-0.362275,0.301039,0.83176
560.0,-0.368125,0.289032,0.821149
561.0,-0.373959,0.276979,0.810246
562.0,-0.379779,0.264883,0.799055
563.0,-0.385584,0.252745,0.787581
564.0,-0.391374,0.240567,0.775826
565.0,-0.397148,0.228351,0.763796
566.0,-0.402906,0.216099,0.751494
567.0,-0.408649,0.203813,0.738926
568.0,-0.414376,0.191494,0.726095
569.0,-0.420086,0.179146,0.713006
570.0,-0.425779,0.166769,0.699663
571.0,-0.431456,0.154366,0.686072
572.0,-0.437116,0.141938,0.672238
573.0,-0.442758,0.129488,0.658164
574.0,-0.448383,0.117017,0.643857
575.0,-0.45399,0.104528,0.62932
576.0,-0.45958,0.092023,0.614561
577.0,-0.465151,0.079503,0.599582
578.0,-0.470704,0.06697,0.584391
579.0,-0.476238,0.054427,0.568993
580.0,-0.481754,0.041876,0.553392
581.0,-0.48725,0.029317,0.537594
582.0,-0.492727,0.016754,0.521605
583.0,-0.498185,0.004189,0.505431
584.0,-0.503623,-0.008377,0.489078
585.0,-0.509041,-0.020942,0.472551
586.0,-0.51444,-0.033504,0.455856
587.0,-0.519817,-0.04606,0.438999
588.0,-0.525175,-0.058609,0.421985
589.0,-0.530511,-0.071149,0.404822
590.0,-0.535827,-0.083678,0.387516
591.0,-0.541121,-0.096193,0.370071
592.0,-0.546394,-0.108693,0.352495
593.0,-0.551646,-0.121176,0.334794
594.0,-0.556876,-0.13364,0.316974
595.0,-0.562083,-0.146083,0.299041
596.0,-0.567269,-0.158503,0.281002
597.0,-0.572432,-0.170897,0.262863
598.0,-0.577573,-0.183265,0.244631
599.0,-0.58269,-0.195604,0.226311
600.0,-0.587785,-0.207912,0.207912
601.0,-0.592857,-0.220187,0.189438
602.0,-0.597905,-0.232427,0.170897
603.0,-0.60293,-0.244631,0.152296
604.0,-0.60793,-0.256795,0.13364
605.0,-0.612907,-0.26892,0.114937
606.0,-0.61786,-0.281002,0.096193
607.0,-0.622788,-0.293039,0.077415
608.0,-0.627691,-0.305031,0.058609
609.0,-0.63257,-0.316974,0.039783
610.0,-0.637424,-0.328867,0.020942
611.0,-0.642253,-0.340708,0.002094
612.0,-0.647056,-0.352495,-0.016754
613.0,-0.651834,-0.364227,-0.035597
614.0,-0.656586,-0.375901,-0.054427
615.0,-0.661312,-0.387516,-0.073238
616.0,-0.666012,-0.399069,-0.092023
617.0,-0.670686,-0.41056,-0.110775
618.0,-0.675333,-0.421985,-0.129488
619.0,-0.679953,-0.433345,-0.148155
620.0,-0.684547,-0.444635,-0.166769
621.0,-0.689114,-0.455856,-0.185324
622.0,-0.693653,-0.467004,-0.203813
623.0,-0.698165,-0.478079,-0.222229
624.0,-0.70265,-0.489078,-0.240567
625.0,-0.707107,-0.5,-0.258819
626.0,-0.711536,-0.510843,-0.276979
627.0,-0.715936,-0.521605,-0.295041
628.0,-0.720309,-0.532285,-0.312998
629.0,-0.724653,-0.542881,-0.330844
630.0,-0.728969,-0.553392,-0.348572
631.0,-0.733255,-0.563814,-0.366176
632.0,-0.737513,-0.574148,-0.383651
633.0,-0.741742,-0.584391,-0.400989
634.0,-0.745941,-0.594542,-0.418184
635.0,-0.750111,-0.604599,-0.435231
636.0,-0.754251,-0.614561,-0.452123
637.0,-0.758362,-0.624425,-0.468855
638.0,-0.762443,-0.634191,-0.48542
639.0,-0.766493,-0.643857,-0.501813
640.0,-0.770513,-0.653421,-0.518027
641.0,-0.774503,-0.662881,-0.534057
642.0,-0.778462,-0.672238,-0.549898
643.0,-0.782391,-0.681488,-0.565543
644.0,-0.786288,-0.69063,-0.580987
645.0,-0.790155,-0.699663,-0.596225
646.0,-0.79399,-0.708586,-0.611251
647.0,-0.797794,-0.717397,-0.62606
648.0,-0.801567,-0.726095,-0.640646
649.0,-0.805308,-0.734678,-0.655005
650.0,-0.809017,-0.743145,-0.669131
651.0,-0.812694,-0.751494,-0.683019
652.0,-0.816339,-0.759725,-0.696664
653.0,-0.819952,-0.767836,-0.710062
654.0,-0.823533,-0.775826,-0.723208
655.0,-0.827081,-0.783693,-0.736097
656.0,-0.830596,-0.791437,-0.748724
657.0,-0.834078,-0.799055,-0.761086
658.0,-0.837528,-0.806548,-0.773177
659.0,-0.840945,-0.813913,-0.784993
660.0,-0.844328,-0.821149,-0.79653
661.0,-0.847678,-0.828256,-0.807784
662.0,-0.850994,-0.835232,-0.818751
663.0,-0.854277,-0.842076,-0.829428
664.0,-0.857527,-0.848787,-0.839809
665.0,-0.860742,-0.855364,-0.849893
666.0,-0.863923,-0.861806,-0.859674
667.0,-0.867071,-0.868112,-0.86915
668.0,-0.870184,-0.874281,-0.878317
669.0,-0.873262,-0.880312,-0.887172
670.0,-0.876307,-0.886204,-0.895712
671.0,-0.879316,-0.891955,-0.903933
672.0,-0.882291,-0.897566,-0.911834
673.0,-0.885231,-0.903036,-0.91941
674.0,-0.888136,-0.908362,-0.92666
675.0,-0.891007,-0.913545,-0.93358
676.0,-0.893841,-0.918584,-0.940169
677.0,-0.896641,-0.923478,-0.946424
678.0,-0.899405,-0.928226,-0.952343
679.0,-0.902134,-0.932828,-0.957923
680.0,-0.904827,-0.937282,-0.963163
681.0,-0.907484,-0.941588,-0.96806
682.0,-0.910106,-0.945746,-0.972614
683.0,-0.912692,-0.949754,-0.976822
684.0,-0.915241,-0.953612,-0.980683
685.0,-0.917755,-0.957319,-0.984196
686.0,-0.920232,-0.960876,-0.987359
687.0,-0.922673,-0.964281,-0.990171
