时间戳,输入,输出
1790.0,0.912023,0.62182
1800.0,0.914689,0.626812
1810.0,0.917317,0.63178
1820.0,0.919905,0.636722
1830.0,0.922455,0.64164
1840.0,0.924966,0.646531
1850.0,0.927438,0.651398
1860.0,0.92987,0.656238
1870.0,0.932263,0.661052
1880.0,0.934616,0.665839
1890.0,0.93693,0.6706
1900.0,0.939204,0.675334
1910.0,0.941438,0.680041
1920.0,0.943632,0.684721
1930.0,0.945785,0.689374
1940.0,0.947898,0.693998
1950.0,0.949971,0.698595
1960.0,0.952004,0.703164
1970.0,0.953995,0.707704
1980.0,0.955946,0.712216
1990.0,0.957856,0.716699
2000.0,0.959725,0.721154
2009.9999999999998,0.961553,0.725579
2020.0,0.963339,0.729974
2029.9999999999998,0.965085,0.734341
2040.0,0.966788,0.738677
2050.0,0.968451,0.742984
2060.0,0.970071,0.74726
2070.0,0.97165,0.751506
2080.0,0.973187,0.755721
2090.0,0.974683,0.759906
2100.0,0.976136,0.76406
2110.0,0.977547,0.768182
2120.0,0.978915,0.772273
2130.0,0.980242,0.776333
2140.0,0.981526,0.780361
2150.0,0.982768,0.784357
2160.0,0.983967,0.788321
2170.0,0.985123,0.792253
2180.0,0.986237,0.796152
2190.0,0.987308,0.800018
2200.0,0.988336,0.803852
2210.0,0.989321,0.807652
2220.0,0.990263,0.81142
2230.0,0.991162,0.815154
2240.0,0.992018,0.818854
2250.0,0.99283,0.822521
2260.0,0.9936,0.826153
2270.0,0.994326,0.829752
2280.0,0.995008,0.833316
2290.0,0.995647,0.836846
2300.0,0.996243,0.840341
2310.0,0.996795,0.843801
2320.0,0.997303,0.847226
2330.0,0.997768,0.850616
2340.0,0.998188,0.853971
2350.0,0.998566,0.85729
2360.0,0.998899,0.860574
2370.0,0.999188,0.863822
2380.0,0.999433,0.867034
2390.0,0.999635,0.870209
2400.0,0.999792,0.873349
2410.0,0.999906,0.876452
2420.0,0.999975,0.879518
2430.0,1.0,0.882547
2440.0,0.999981,0.88554
2450.0,0.999918,0.888495
2460.0,0.99981,0.891413
2470.0,0.999659,0.894294
2480.0,0.999463,0.897138
2490.0,0.999222,0.899943
2500.0,0.998938,0.902711
2510.0,0.998609,0.905441
2520.0,0.998236,0.908132
2530.0,0.997819,0.910786
2540.0,0.997357,0.913401
2550.0,0.99685,0.915977
2560.0,0.9963,0.918515
2570.0,0.995705,0.921014
2580.0,0.995065,0.923474
2590.0,0.994382,0.925895
2600.0,0.993654,0.928277
2610.0,0.992881,0.930619
2620.0,0.992064,0.932922
2630.0,0.991203,0.935186
2640.0,0.990297,0.93741
2650.0,0.989347,0.939593
2660.0,0.988353,0.941737
2670.0,0.987314,0.943841
2680.0,0.986231,0.945905
2690.0,0.985103,0.947928
2700.0,0.983932,0.949911
2710.0,0.982716,0.951853
2720.0,0.981456,0.953755
2730.0,0.980151,0.955616
2740.0,0.978803,0.957436
2750.0,0.97741,0.959215
2760.0,0.975973,0.960953
2770.0,0.974492,0.962649
2780.0,0.972967,0.964305
2790.0,0.971398,0.965919
2800.0,0.969785,0.967492
2810.0,0.968128,0.969023
2820.0,0.966428,0.970512
2830.0,0.964683,0.97196
2840.0,0.962895,0.973365
2850.0,0.961062,0.974729
2860.0,0.959187,0.976051
2870.0,0.957267,0.977331
2880.0,0.955304,0.978568
2890.0,0.953298,0.979763
2900.0,0.951248,0.980916
2910.0,0.949154,0.982026
2920.0,0.947017,0.983094
2930.0,0.944837,0.984119
2940.0,0.942614,0.985102
2950.0,0.940348,0.986041
2960.0,0.938038,0.986938
2970.0,0.935686,0.987792
2980.0,0.933291,0.988603
2990.0,0.930853,0.989371
3000.0,0.928372,0.990096
3010.0,0.925848,0.990778
3020.0,0.923282,0.991417
3030.0,0.920674,0.992012
3040.0,0.918023,0.992564
3050.0,0.91533,0.993073
3060.0,0.912594,0.993538
3070.0,0.909817,0.99396
3080.0,0.906997,0.994338
3090.0,0.904135,0.994673
3100.0,0.901232,0.994964
3110.0,0.898287,0.995211
3120.0,0.8953,0.995415
3130.0,0.892272,0.995575
3140.0,0.889203,0.995691
3150.0,0.886092,0.995764
3160.0,0.88294,0.995792
3170.0,0.879747,0.995777
3180.0,0.876513,0.995718
3190.0,0.873238,0.995615
3200.0,0.869923,0.995468
3210.0,0.866567,0.995277
3220.0,0.863171,0.995042
3230.0,0.859734,0.994763
3240.0,0.856257,0.99444
3250.0,0.85274,0.994073
3260.0,0.849183,0.993662
3270.0,0.845586,0.993206
3280.0,0.84195,0.992707
3290.0,0.838274,0.992164
3300.0,0.834559,0.991576
3310.0,0.830805,0.990945
3320.0,0.827011,0.990269
3330.0,0.823179,0.989549
3340.0,0.819308,0.988785
3350.0,0.815398,0.987977
3360.0,0.81145,0.987125
3370.0,0.807463,0.986229
3380.0,0.803438,0.985289
3390.0,0.799376,0.984304
3400.0,0.795275,0.983276
3410.0,0.791137,0.982204
3420.0,0.786961,0.981087
3430.0,0.782748,0.979927
3440.0,0.778498,0.978723
3450.0,0.774211,0.977474
3460.0,0.769887,0.976182
3470.0,0.765526,0.974846
3480.0,0.761129,0.973466
3490.0,0.756696,0.972042
3500.0,0.752227,0.970575
3510.0,0.747721,0.969064
3520.0,0.74318,0.967508
3530.0,0.738603,0.96591
3540.0,0.733991,0.964267
3550.0,0.729344,0.962581
3560.0,0.724662,0.960852
3570.0,0.719945,0.959079
3580.0,0.715193,0.957263
3590.0,0.710407,0.955403
3600.0,0.705587,0.953499
3610.0,0.700733,0.951553
3620.0,0.695845,0.949563
3630.0,0.690923,0.94753
3640.0,0.685968,0.945455
3650.0,0.68098,0.943336
3660.0,0.675959,0.941174
3670.0,0.670905,0.938969
3680.0,0.665819,0.936721
3690.0,0.6607,0.93443
3700.0,0.65555,0.932097
3710.0,0.650367,0.929722
3720.0,0.645153,0.927303
3730.0,0.639907,0.924842
3740.0,0.63463,0.922339
3750.0,0.629322,0.919794
3760.0,0.623984,0.917206
3770.0,0.618614,0.914577
3780.0,0.613215,0.911905
3790.0,0.607786,0.909191
3800.0,0.602326,0.906436
3810.0,0.596837,0.903639
3820.0,0.591319,0.9008
3830.0,0.585772,0.897919
3840.0,0.580195,0.894998
3850.0,0.57459,0.892034
3860.0,0.568957,0.88903
3870.0,0.563296,0.885985
3880.0,0.557607,0.882898
3890.0,0.55189,0.879771
3900.0,0.546145,0.876603
3910.0,0.540374,0.873394
3920.0,0.534576,0.870145
3930.0,0.528751,0.866855
3940.0,0.522899,0.863525
3950.0,0.517022,0.860155
3960.0,0.511119,0.856745
3970.0,0.50519,0.853295
3980.0,0.499236,0.849805
3990.0,0.493257,0.846275
4000.0,0.487253,0.842706
4010.0,0.481225,0.839098
4019.9999999999995,0.475172,0.83545
4030.0000000000005,0.469095,0.831764
4040.0,0.462995,0.828038
4050.0,0.456871,0.824273
4059.9999999999995,0.450724,0.82047
4070.0000000000005,0.444554,0.816629
4080.0,0.438362,0.812749
4090.0,0.432147,0.808831
4100.0,0.425911,0.804874
4110.0,0.419652,0.80088
4120.0,0.413372,0.796848
4130.0,0.407071,0.792779
4140.0,0.400749,0.788672
4150.0,0.394407,0.784528
4160.0,0.388044,0.780347
4170.0,0.381661,0.776129
4180.0,0.375258,0.771874
4190.0,0.368836,0.767583
4200.0,0.362395,0.763255
4210.0,0.355935,0.758891
4220.0,0.349456,0.754491
4230.0,0.342959,0.750055
4240.0,0.336444,0.745583
4250.0,0.329912,0.741076
4260.0,0.323362,0.736534
4270.0,0.316795,0.731956
4280.0,0.310212,0.727344
4290.0,0.303612,0.722697
4300.0,0.296995,0.718015
4310.0,0.290363,0.713299
4320.0,0.283716,0.708549
4330.0,0.277053,0.703764
4340.0,0.270376,0.698946
4350.0,0.263684,0.694095
4360.0,0.256977,0.68921
4370.0,0.250257,0.684292
4380.0,0.243523,0.679341
4390.0,0.236775,0.674357
4400.0,0.230015,0.669341
4410.0,0.223242,0.664292
4420.0,0.216457,0.659211
4430.0,0.209659,0.654099
4440.0,0.20285,0.648955
4450.0,0.19603,0.643779
4460.0,0.189198,0.638572
4470.0,0.182356,0.633334
4480.0,0.175503,0.628065
4490.0,0.168641,0.622766
4500.0,0.161768,0.617436
4510.0,0.154886,0.612077
4520.0,0.147995,0.606687
4530.0,0.141095,0.601268
4540.0,0.134186,0.59582
4550.0,0.12727,0.590342
4560.0,0.120346,0.584835
4570.0,0.113414,0.5793
4580.0,0.106475,0.573736
4590.0,0.099529,0.568144
4600.0,0.092577,0.562524
4610.0,0.085619,0.556877
4620.0,0.078655,0.551202
4630.0,0.071686,0.545499
4640.0,0.064711,0.53977
4650.0,0.057732,0.534014
4660.0,0.050748,0.528232
4670.0,0.04376,0.522423
4680.0,0.036769,0.516589
4690.0,0.029774,0.510728
4700.0,0.022776,0.504843
4710.0,0.015775,0.498932
4720.0,0.008771,0.492996
4730.0,0.001766,0.487036
4740.0,-0.005241,0.481051
4750.0,-0.012249,0.475043
4760.0,-0.019258,0.46901
4770.0,-0.026268,0.462954
4780.0,-0.033279,0.456875
4790.0,-0.040289,0.450772
4800.0,-0.047299,0.444647
4810.0,-0.054308,0.438499
4820.0,-0.061316,0.43233
4830.0,-0.068323,0.426138
4840.0,-0.075328,0.419925
4850.0,-0.082331,0.41369
4860.0,-0.089331,0.407434
4870.0,-0.096329,0.401158
4880.0,-0.103323,0.394861
4890.0,-0.110314,0.388544
4900.0,-0.117301,0.382206
4910.0,-0.124284,0.37585
4920.0,-0.131262,0.369474
4930.0,-0.138236,0.363079
4940.0,-0.145204,0.356665
4950.0,-0.152167,0.350233
4960.0,-0.159124,0.343782
4970.0,-0.166074,0.337314
4980.0,-0.173018,0.330828
4990.0,-0.179954,0.324325
5000.0,-0.186884,0.317805
5010.0,-0.193806,0.311268
5020.0,-0.200719,0.304715
5030.0,-0.207625,0.298146
5040.0,-0.214521,0.291561
5050.0,-0.221409,0.284961
5060.0,-0.228287,0.278345
5070.0,-0.235155,0.271715
5080.0,-0.242013,0.26507
5090.0,-0.248861,0.258412
5100.0,-0.255697,0.251739
5110.0,-0.262523,0.245052
5120.0,-0.269337,0.238353
5130.0,-0.276139,0.23164
5140.0,-0.282929,0.224915
5150.0,-0.289706,0.218177
5160.0,-0.29647,0.211427
5170.0,-0.303222,0.204666
5180.0,-0.309959,0.197894
5190.0,-0.316682,0.19111
5200.0,-0.323391,0.184316
5210.0,-0.330086,0.177511
5220.0,-0.336765,0.170696
5230.0,-0.343429,0.163871
5240.0,-0.350078,0.157037
5250.0,-0.35671,0.150194
5260.0,-0.363326,0.143342
5270.0,-0.369925,0.136482
5280.0,-0.376507,0.129613
5290.0,-0.383071,0.122737
5300.0,-0.389618,0.115854
5310.0,-0.396147,0.108963
5320.0,-0.402657,0.102065
5330.0,-0.409148,0.095161
5340.0,-0.41562,0.088251
5350.0,-0.422073,0.081335
5360.0,-0.428506,0.074413
5370.0,-0.434919,0.067487
5380.0,-0.441311,0.060555
5390.0,-0.447682,0.053619
5400.0,-0.454032,0.046679
5410.0,-0.460361,0.039736
5420.0,-0.466668,0.032788
5430.0,-0.472952,0.025838
5440.0,-0.479214,0.018885
5450.0,-0.485453,0.011929
5460.0,-0.491669,0.004972
5470.0,-0.497862,-0.001988
5480.0,-0.50403,-0.008949
5490.0,-0.510175,-0.015911
5500.0,-0.516295,-0.022873
5510.0,-0.52239,-0.029836
5520.0,-0.528459,-0.036799
5530.0,-0.534504,-0.043762
5540.0,-0.540522,-0.050724
5550.0,-0.546515,-0.057685
5560.0,-0.55248,-0.064645
5570.0,-0.558419,-0.071603
5580.0,-0.564331,-0.078559
5590.0,-0.570216,-0.085513
5600.0,-0.576073,-0.092464
5610.0,-0.581901,-0.099412
5620.0,-0.587701,-0.106357
5630.0,-0.593473,-0.113298
5640.0,-0.599215,-0.120235
5650.0,-0.604928,-0.127167
5660.0,-0.610612,-0.134095
5670.0,-0.616265,-0.141017
5680.0,-0.621888,-0.147934
5690.0,-0.627481,-0.154845
5700.0,-0.633043,-0.16175
5710.0,-0.638573,-0.168649
5720.0,-0.644072,-0.175541
5730.0,-0.649539,-0.182425
5740.0,-0.654974,-0.189302
5750.0,-0.660376,-0.196171
5760.0,-0.665746,-0.203032
5770.0,-0.671083,-0.209884
5780.0,-0.676386,-0.216727
5790.0,-0.681656,-0.223561
5800.0,-0.686892,-0.230385
5810.0,-0.692094,-0.2372
5820.0,-0.697261,-0.244004
5830.0,-0.702393,-0.250797
5840.0,-0.70749,-0.257579
5850.0,-0.712552,-0.26435
5860.0,-0.717578,-0.27111
5870.0,-0.722569,-0.277857
5880.0,-0.727523,-0.284591
5890.0,-0.73244,-0.291314
5900.0,-0.737321,-0.298022
5910.0,-0.742164,-0.304718
5920.0,-0.746971,-0.3114
5930.0,-0.751739,-0.318067
5940.0,-0.75647,-0.32472
5950.0,-0.761163,-0.331359
5960.0,-0.765817,-0.337982
5970.0,-0.770432,-0.34459
5980.0,-0.775008,-0.351181
5990.0,-0.779546,-0.357757
6000.0,-0.784043,-0.364316
6010.0,-0.788501,-0.370858
6020.0,-0.792919,-0.377383
6030.0,-0.797297,-0.383891
6040.0,-0.801634,-0.39038
6050.0,-0.80593,-0.396852
6060.0,-0.810185,-0.403305
6070.0,-0.814399,-0.409738
6080.0,-0.818571,-0.416153
6090.0,-0.822702,-0.422548
6100.0,-0.82679,-0.428923
6110.0,-0.830836,-0.435278
6120.0,-0.83484,-0.441613
6130.0,-0.838801,-0.447926
6140.0,-0.842719,-0.454218
6150.0,-0.846593,-0.460489
6160.0,-0.850424,-0.466737
6170.0,-0.854212,-0.472964
6180.0,-0.857955,-0.479168
6190.0,-0.861654,-0.485348
6200.0,-0.865309,-0.491506
6210.0,-0.86892,-0.49764
6220.0,-0.872485,-0.50375
6230.0,-0.876006,-0.509836
6240.0,-0.879481,-0.515898
6250.0,-0.88291,-0.521934
6260.0,-0.886294,-0.527946
6270.0,-0.889632,-0.533932
6280.0,-0.892924,-0.539892
6290.0,-0.89617,-0.545826
6300.0,-0.899369,-0.551733
6310.0,-0.902522,-0.557613
6320.0,-0.905627,-0.563467
6330.0,-0.908685,-0.569293
6340.0,-0.911696,-0.575091
6350.0,-0.91466,-0.580861
6360.0,-0.917576,-0.586603
6370.0,-0.920444,-0.592316
6380.0,-0.923263,-0.598
6390.0,-0.926035,-0.603655
6400.0,-0.928758,-0.60928
6410.0,-0.931433,-0.614876
6420.0,-0.934059,-0.62044
6430.0,-0.936635,-0.625975
6440.0,-0.939163,-0.631479
6450.0,-0.941641,-0.636951
6460.0,-0.94407,-0.642392
6470.0,-0.94645,-0.647801
6480.0,-0.948779,-0.653178
6490.0,-0.951059,-0.658523
6500.0,-0.953288,-0.663835
6510.0,-0.955467,-0.669114
6520.0,-0.957596,-0.67436
6530.0,-0.959674,-0.679573
6540.0,-0.961702,-0.684751
6550.0,-0.963678,-0.689896
6560.0,-0.965604,-0.695006
6570.0,-0.967479,-0.700081
6580.0,-0.969302,-0.705122
6590.0,-0.971074,-0.710127
6600.0,-0.972794,-0.715096
6610.0,-0.974463,-0.72003
6620.0,-0.97608,-0.724928
6630.0,-0.977645,-0.729789
6640.0,-0.979158,-0.734613
6650.0,-0.980619,-0.739401
6660.0,-0.982027,-0.744152
6670.0,-0.983383,-0.748865
6680.0,-0.984687,-0.75354
6690.0,-0.985938,-0.758177
6700.0,-0.987137,-0.762776
6710.0,-0.988282,-0.767336
6720.0,-0.989375,-0.771858
6730.0,-0.990415,-0.776341
6740.0,-0.991402,-0.780784
6750.0,-0.992336,-0.785187
6760.0,-0.993216,-0.789551
6770.0,-0.994043,-0.793875
6780.0,-0.994816,-0.798158
6790.0,-0.995537,-0.802401
6800.0,-0.996203,-0.806603
6810.0,-0.996816,-0.810763
6820.0,-0.997375,-0.814883
6830.0,-0.997881,-0.818961
6840.0,-0.998332,-0.822997
6850.0,-0.99873,-0.82699
6860.0,-0.999073,-0.830942
6870.0,-0.999363,-0.834851
6880.0,-0.999599,-0.838717
6890.0,-0.99978,-0.842541
6900.0,-0.999907,-0.846321
6910.0,-0.999981,-0.850057
6920.0,-0.999999,-0.85375
6930.0,-0.999964,-0.857399
6940.0,-0.999874,-0.861004
6950.0,-0.99973,-0.864565
6960.0,-0.999531,-0.868081
6970.0,-0.999278,-0.871552
6980.0,-0.998971,-0.874978
6990.0,-0.998609,-0.878359
7000.0,-0.998193,-0.881695
7010.0,-0.997722,-0.884985
7020.0,-0.997196,-0.888229
7030.0,-0.996616,-0.891427
7040.0,-0.995982,-0.894579
7050.0,-0.995293,-0.897684
7060.0,-0.994549,-0.900743
7070.0,-0.993751,-0.903755
7080.0,-0.992899,-0.90672
7090.0,-0.991992,-0.909638
7100.0,-0.99103,-0.912509
7110.0,-0.990014,-0.915332
7120.0,-0.988944,-0.918107
7130.0,-0.987819,-0.920834
7140.0,-0.986639,-0.923513
7150.0,-0.985406,-0.926144
7160.0,-0.984117,-0.928727
7170.0,-0.982775,-0.93126
7180.0,-0.981378,-0.933745
7190.0,-0.979927,-0.936182
7200.0,-0.978422,-0.938569
7210.0,-0.976863,-0.940906
7220.0,-0.975249,-0.943195
7230.0,-0.973582,-0.945433
7240.0,-0.97186,-0.947622
7250.0,-0.970085,-0.949761
7260.0,-0.968255,-0.951851
7270.0,-0.966372,-0.953889
7280.0,-0.964435,-0.955878
7290.0,-0.962444,-0.957816
7300.0,-0.9604,-0.959704
7310.0,-0.958302,-0.961541
7320.0,-0.956151,-0.963326
7330.0,-0.953946,-0.965061
7340.0,-0.951688,-0.966745
7350.0,-0.949377,-0.968378
7360.0,-0.947013,-0.969959
7370.0,-0.944595,-0.971489
7380.0,-0.942125,-0.972967
7390.0,-0.939602,-0.974393
7400.0,-0.937026,-0.975768
7410.0,-0.934398,-0.977091
7420.0,-0.931717,-0.978361
7430.0,-0.928983,-0.97958
7440.0,-0.926198,-0.980746
7450.0,-0.92336,-0.98186
7460.0,-0.92047,-0.982921
7470.0,-0.917529,-0.98393
7480.0,-0.914535,-0.984886
7490.0,-0.91149,-0.98579
7500.0,-0.908394,-0.986641
7510.0,-0.905246,-0.987439
7520.0,-0.902046,-0.988184
7530.0,-0.898796,-0.988876
7540.0,-0.895495,-0.989514
7550.0,-0.892143,-0.9901
7560.0,-0.88874,-0.990633
7570.0,-0.885287,-0.991112
7580.0,-0.881783,-0.991537
7590.0,-0.87823,-0.99191
7600.0,-0.874626,-0.992229
7610.0,-0.870973,-0.992494
7620.0,-0.867269,-0.992706
7630.0,-0.863517,-0.992864
7640.0,-0.859715,-0.992968
7650.0,-0.855864,-0.993019
7660.0,-0.851964,-0.993016
7670.0,-0.848015,-0.992959
7680.0,-0.844017,-0.992848
7690.0,-0.839972,-0.992684
7700.0,-0.835878,-0.992465
7710.0,-0.831736,-0.992193
7720.0,-0.827546,-0.991867
7730.0,-0.823309,-0.991487
7740.0,-0.819024,-0.991053
7750.0,-0.814692,-0.990564
7760.0,-0.810313,-0.990022
7770.0,-0.805888,-0.989426
7780.0,-0.801415,-0.988776
7790.0,-0.796897,-0.988072
7800.0,-0.792332,-0.987314
7810.0,-0.787722,-0.986502
7820.0,-0.783066,-0.985636
7830.0,-0.778365,-0.984716
7840.0,-0.773618,-0.983742
7850.0,-0.768827,-0.982714
7860.0,-0.763991,-0.981632
7870.0,-0.75911,-0.980496
7880.0,-0.754185,-0.979307
7890.0,-0.749217,-0.978063
7900.0,-0.744204,-0.976766
7910.0,-0.739148,-0.975415
7920.0,-0.734049,-0.97401
7930.0,-0.728908,-0.972551
7940.0,-0.723723,-0.971039
7950.0,-0.718496,-0.969474
7960.0,-0.713227,-0.967854
7970.0,-0.707916,-0.966182
7980.0,-0.702564,-0.964455
7990.0,-0.69717,-0.962676
8000.0,-0.691735,-0.960843
8010.0,-0.68626,-0.958956
8020.0,-0.680744,-0.957017
8029.999999999999,-0.675188,-0.955025
8039.999999999999,-0.669592,-0.952979
8050.000000000001,-0.663956,-0.95088
8060.000000000001,-0.658281,-0.948729
8070.0,-0.652568,-0.946525
8080.0,-0.646815,-0.944268
8090.0,-0.641024,-0.941958
8100.0,-0.635195,-0.939596
8109.999999999999,-0.629329,-0.937181
8119.999999999999,-0.623425,-0.934715
8130.000000000001,-0.617483,-0.932195
8140.000000000001,-0.611505,-0.929624
8150.0,-0.605491,-0.927001
8160.0,-0.59944,-0.924326
8170.0,-0.593353,-0.921599
8180.0,-0.587231,-0.91882
8189.999999999999,-0.581074,-0.91599
8200.0,-0.574882,-0.913108
8210.0,-0.568655,-0.910175
8220.0,-0.562394,-0.907191
8230.0,-0.556099,-0.904155
8240.0,-0.549771,-0.901069
8250.0,-0.543409,-0.897932
8260.0,-0.537015,-0.894744
8270.0,-0.530588,-0.891506
8280.0,-0.524129,-0.888218
8290.0,-0.517638,-0.884879
8300.0,-0.511116,-0.88149
8310.0,-0.504563,-0.878051
8320.0,-0.497979,-0.874563
8330.0,-0.491365,-0.871025
8340.0,-0.48472,-0.867438
8350.0,-0.478046,-0.863801
8360.0,-0.471343,-0.860115
8370.0,-0.464611,-0.856381
8380.0,-0.45785,-0.852597
8390.0,-0.451061,-0.848766
8400.0,-0.444245,-0.844885
8410.0,-0.437401,-0.840957
8420.0,-0.43053,-0.83698
8430.0,-0.423632,-0.832956
8440.0,-0.416708,-0.828884
8450.0,-0.409759,-0.824765
8460.0,-0.402784,-0.820599
8470.0,-0.395783,-0.816385
8480.0,-0.388758,-0.812125
8490.0,-0.381709,-0.807818
8500.0,-0.374636,-0.803465
8510.0,-0.367539,-0.799066
8520.0,-0.360419,-0.794621
8530.0,-0.353277,-0.79013
8540.0,-0.346112,-0.785593
8550.0,-0.338925,-0.781011
8560.0,-0.331717,-0.776385
8570.0,-0.324488,-0.771713
8580.0,-0.317238,-0.766997
8590.0,-0.309968,-0.762236
8600.0,-0.302678,-0.757431
8610.0,-0.295368,-0.752583
8620.0,-0.288039,-0.747691
8630.0,-0.280692,-0.742755
8640.0,-0.273327,-0.737777
8650.0,-0.265944,-0.732755
8660.0,-0.258543,-0.727691
8670.0,-0.251126,-0.722585
8680.0,-0.243692,-0.717436
8690.0,-0.236242,-0.712246
8700.0,-0.228777,-0.707014
8710.0,-0.221296,-0.701741
8720.0,-0.213801,-0.696426
8730.0,-0.206291,-0.691071
8740.0,-0.198767,-0.685676
8750.0,-0.19123,-0.680241
8760.0,-0.18368,-0.674765
8770.0,-0.176117,-0.66925
8780.0,-0.168542,-0.663696
8790.0,-0.160955,-0.658102
8800.0,-0.153357,-0.65247
